oid	accepted_name	accepted_rank	max_ma	min_ma	stratigraphy	lithostratigraphy	biostratigraphy	locality	country_code	references	specimen_no	pbdb_occurrences	gbif_occurrences	lat	lng	utm	paleo_lng	paleo_lat	higher_than	comments
101	Ophthalmosaurus natans	species	163.97	159.49	Upper Callovian–Middle Oxfordian	Sundance Formation		Albany County, Wyoming	US	Gilmore1905MCM	CM 603			41.699346	-105.698581					Location taken as approximate centre of county
102	Ophthalmosaurus natans	species	163.97	159.49	Upper Callovian–Middle Oxfordian	Sundance Formation		Big Horn County, Wyoming	US	Gilmore1905MCM	CM 919	343565		44.571552	-108.029104					Location taken as approximate centre of county
103	Ophthalmosaurus natans	species	163.97	159.49	Upper Callovian–Middle Oxfordian	Sundance Formation		Carbon County, Wyoming	US	Gilmore1906MCM	CM 1441			41.695073	-106.870175					Location taken as approximate centre of county
104	Ophthalmosaurus natans	species	163.97	159.49	Upper Callovian–Middle Oxfordian	Sundance Formation		Albany County, Wyoming	US	Knight1903AJS,Gilmore1905MCM	UW specimen S			41.699346	-105.698581					Location taken as approximate centre of county
105	Ophthalmosaurus natans	species	163.97	159.49	Upper Callovian–Middle Oxfordian	Sundance Formation		Albany County, Wyoming	US	Marsh1879AMNH,Gilmore1905MCM	YPM 1952			41.699346	-105.698581					Location taken as approximate centre of county
106	Ophthalmosaurus natans	species	163.97	159.49	Upper Callovian–Middle Oxfordian	Sundance Formation		Freemont County, Wyoming	US	Gilmore1907AJS	UW specimen DB	880206		42.997442	-108.574351					Location taken as approximate centre of county
107	Ophthalmosaurus natans	species	163.97	159.49	Upper Callovian–Middle Oxfordian	Sundance Formation		Albany County, Wyoming	US	Marsh1895AJS,Gilmore1905MCM	YPM 1955			41.699346	-105.698581					Location taken as approximate centre of county
108	Ophthalmosaurus natans	species	163.97	159.49	Upper Callovian–Middle Oxfordian	Sundance Formation		Natrona County, Wyoming, USA	US	Wahl2009P,Massare2014GM	UW 24216/24816			42.953025	-106.80494					Location taken as approximate centre of county
109	Ophthalmosaurus natans	species	163.97	161.18	Upper Callovian–Lower Oxfordian	Sundance Formation	Quenstedtoceras ammonite biozones	Natrona County, Wyoming, USA	US	Massare2005P	UW 34653	45529		42.953025	-106.80494					Location taken as approximate centre of county
110	Undorosaurus gorodischensis	species	147.45	146.9	Middle Volgian		Epivirgatites nikitini Ammonite Biozone	Ulyanovsk Region, Russia	RU	Efimov1999PZa,Zverkov2019JSP	UPM EP-II-20(572), UPM EP-II-21(1075)	293808		54.324444	48.739445					
111	Undorosaurus gorodischensis	species	147.52	147.2	Middle Volgian	Agardhfjellet Formation	Crendonites aguinus Ammonite Biozone?	Svalbard, Norway	SJ	Druckenmiller2012NJG,Zverkov2019JSP	PMO 214.578	1077966		78.336601	15.8349					
112	Undorosaurus gorodischensis	species	146.67	146.43	Upper Volgian		Garniericeras catenulatum Ammonite Biozone	Ulyanovsk Region, Russia	RU	Efimov1999PZa,Zverkov2019JSP	UPM EP-II-23(744)	293807		54.616669	48.366669					
113	Undorosaurus gorodischensis	species	147.93	147.45	Middle Volgian		Virgatites virgatus Ammonite Biozone	Moscow Region, Russia	RU	Efimov1999PZa,Zverkov2019JSP	UPM EP-II-27(870)	293810		55	37					
114	Undorosaurus kielanae	species	149.59	146.9	Middle Volgian	Kcynia Formation		Tomaszów Mazowiecki, Poland	PL	Tyborowski2016APP	GMUL 3579-81	1418704		51.376389	20.135555					
115	Undorosaurus nessovi	species	147.93	147.45	Middle Volgian		Virgatites virgatus Ammonite Biozone	Ulyanovsk Region, Russia	RU	Efimov1999PZa,Zverkov2019JSP	UPM EP-II-24(785), UPM EP-II-25(900)	293809		54.616669	48.366669					
116	Undorosaurus trautscholdi	species	147.45	146.67	Upper Volgian		Epivirgatites nikitini–Kachpurites fulgens ammonite biozones	Moscow Region, Russia	RU	Arkhangelsky2014PZIR	GSM 1503	1236524		55.766666	37.483334					
117	Chacaicosaurus cayi	species	170.3	169.45	lower Bajocian	Los Molles Formation		Chacaico Sur, Neuquén, Argentina	AR	Fernandez1994A	MOZ 5803 PV	1108561		-39.25	-70.300003					
118	Chaohusaurus brevifemoralis	species	247.14	247.06	Spathian	Nanlinghu Formation	Subcolumbites Ammonite Biozone	Majiashan Quarry, Anhui Province, China	CN	Huang2019Pa	AGM AGB7401	1475021		31.6206	117.819702				125	bed 621
119	Chaohusaurus brevifemoralis	species	247.14	247.06	Spathian	Nanlinghu Formation	Subcolumbites Ammonite Biozone	Majiashan Quarry, Anhui Province, China	CN	Huang2019Pa	GMPKU P-3086			31.6206	117.819702				120	bed 633
120	Sclerocormus parviceps	species	247.14	247.06	Spathian	Nanlinghu Formation	Subcolumbites Ammonite Biozone	Majiashan Quarry, Anhui Province, China	CN	Jiang2016SR	AGM AGB6265	1329760		31.6206	117.819702				118	bed 719
