Species	Status	min_age	max_age
Platypterygius_australis	extinct	100.5	107.59
Platypterygius_australis	extinct	100.5	107.59
Platypterygius_australis	extinct	100.5	107.59
Platypterygius_australis	extinct	100.5	107.59
Platypterygius_australis	extinct	100.5	107.59
Eohupehsuchus_brevicollis	extinct	246.8	247.39
Parahupehsuchus_longus	extinct	246.8	247.39
Nanchangosaurus_suni	extinct	246.8	247.39
Nanchangosaurus_suni	extinct	246.8	247.39
Hupehsuchus_nanchangensis	extinct	246.8	247.39
Hupehsuchus_nanchangensis	extinct	246.8	247.39
Hupehsuchus_nanchangensis	extinct	246.8	247.39
Hupehsuchus_nanchangensis	extinct	246.8	247.39
Hupehsuchus_nanchangensis	extinct	246.8	247.39
Hupehsuchus_nanchangensis	extinct	246.8	247.39
Eretmorhipis_carrolldongi	extinct	246.8	247.39
Eretmorhipis_carrolldongi	extinct	246.8	247.39
Contectopalatus_atavus	extinct	243.43	244.34
Contectopalatus_atavus	extinct	243.43	244.34
Contectopalatus_atavus	extinct	243.43	244.34
Contectopalatus_atavus	extinct	243.43	244.34
Contectopalatus_atavus	extinct	243.43	244.34
Contectopalatus_atavus	extinct	241.5	242.38
Contectopalatus_atavus	extinct	243.43	244.34
Contectopalatus_atavus	extinct	243.43	244.34
Contectopalatus_atavus	extinct	243.43	244.34
Contectopalatus_atavus	extinct	244.14	244.34
Guizhouichthyosaurus_tangae	extinct	233.6	235.59
Guizhouichthyosaurus_tangae	extinct	233.6	235.59
Guizhouichthyosaurus_tangae	extinct	233.6	235.59
Guizhouichthyosaurus_tangae	extinct	233.6	235.59
Guizhouichthyosaurus_tangae	extinct	233.6	235.59
Guizhouichthyosaurus_tangae	extinct	233.6	235.59
Guizhouichthyosaurus_tangae	extinct	233.6	235.59
Guizhouichthyosaurus_tangae	extinct	233.6	235.59
Guizhouichthyosaurus_tangae	extinct	233.6	235.59
Guizhouichthyosaurus_wolonggangense	extinct	233.6	235.59
